"Town Name, State",Town Name,State,Longitude,Latitude,Coastal,Inland,Urban,Remote,Year Settled,Year Settled,Year Abandoned,Duration (years),Commodities,Mine Size,Mine Type,Mineral Distribution,Town Area (acres),Peak Population
"Mohave City, Arizona",Mohave City,Arizona,-113.642563,35.60519,,,,,,,,0,,,,,,
"Oatman, Arizona",Oatman,Arizona,-114.384199,35.02684,,,,,,,,0,,,,,,
"Octave, Arizona",Octave,Arizona,-112.689899,34.1416945,,,,,,,,0,,,,,,
"Oro Blanco, Arizona",Oro Blanco,Arizona,-111.282890,31.51026,,,,,,,,0,,,,,,
"Paradise, Arizona",Paradise,Arizona,-109.217667,31.939581,,,,,,,,0,,,,,,
"Pearce, Arizona",Pearce,Arizona,-109.820623,31.9050865,,,,,,,,0,,,,,,
"Piedmont, Arizona",Piedmont,Arizona,-112.860207,34.236721,,,,,,,,0,,,,,,
"Pinal City, Arizona",Pinal City,Arizona,-111.326118,32.983688,,,,,,,,0,,,,,,
"Ray, Arizona",Ray,Arizona,-110.995079,33.187752,,,,,,,,0,,,,,,
"Redington, Arizona",Redington,Arizona,-110.500107,32.427261,,,,,,,,0,,,,,,
"Reymert, Arizona",Reymert,Arizona,-111.205597,33.234421,,,,,,,,0,,,,,,
"Ruby, Arizona",Ruby,Arizona,-111.236659,31.46121,,,,,,,,0,,,,,,
"Ruby, Arizona",Ruby,Arizona,-111.232849,31.46693,,,,,,,,0,,,,,,
"Santa Claus, Arizona",Santa Claus,Arizona,-114.208092,35.33382,,,,,,,,0,,,,,,
"Signal, Arizona",Signal,Arizona,-113.617104,34.493729,,,,,,,,0,,,,,,
"Stanton, Arizona",Stanton,Arizona,-112.730789,34.16209,,,,,,,,0,,,,,,
"Swansea, Arizona",Swansea,Arizona,-113.846049,34.1700198,,,,,,,,0,,,,,,
"Swansea, Arizona",Swansea,Arizona,-113.844254,34.169392,,,,,,,,0,,,,,,
"Tiger, Arizona",Tiger,Arizona,-110.678932,32.700008,,,,,,,,0,,,,,,
"Tip Top, Arizona",Tip Top,Arizona,-112.246101,34.0508,,,,,,,,0,,,,,,
"Tombstone, Arizona",Tombstone,Arizona,-110.062887,31.7176985,,,,,,,,0,,,,,,
"Vulture, Arizona",Vulture,Arizona,-111.946344,33.4503678,,,,,,,,0,,,,,,
"Weaver, Arizona",Weaver,Arizona,-112.700177,34.1547497,,,,,,,,0,,,,,,
"Webb, Arizona",Webb,Arizona,-112.367447,33.55394,,,,,,,,0,,,,,,
"White Hills, Arizona",White Hills,Arizona,-114.398293,35.727291,,,,,,,,0,,,,,,
"Zeniff, Arizona",Zeniff,Arizona,-110.402138,34.58411,,,,,,,,0,,,,,,
"Arkansas Post, Arkansas",Arkansas Post,Arkansas,-91.343597,34.023602,,,,,,,,0,,,,,,
"Fort Douglas, Arkansas",Fort Douglas,Arkansas,-93.268066,35.667198,,,,,,,,0,,,,,,
"Graysonia, Arkansas",Graysonia,Arkansas,-93.431519,34.128101,,,,,,,,0,,,,,,
"Greenway, Arkansas",Greenway,Arkansas,-90.220494,36.34027,,,,,,,,0,,,,,,
"Kimberly, Arkansas",Kimberly,Arkansas,-93.689109,34.04642,,,,,,,,0,,,,,,
"Monte Ne, Arkansas",Monte Ne,Arkansas,-94.070343,36.290329,,,,,,,,0,,,,,,
"Napoleon, Arkansas",Napoleon,Arkansas,-92.131348,34.751888,,,,,,,,0,,,,,,
"Rush, Arkansas",Rush,Arkansas,-92.586700,36.129238,,,,,,,,0,,,,,,
"Agua Fria, California",Agua Fria,California,-120.023750,37.481949,,,,,,,,0,,,,,,
"Alma, California",Alma,California,-121.992111,37.185299,,,,,,,,0,,,,,,
"Amboy, California",Amboy,California,-115.751201,34.556523,,,,,,,,0,,,,,,
"Atolia, California",Atolia,California,-117.608673,35.315479,,,,,,,,0,,,,,,
"Bagdad, California",Bagdad,California,-115.910782,34.590919,,,,,,,,0,,,,,,
"Ballarat, California",Ballarat,California,-117.223333,36.047778,,,,,1896,,,0,,0,,,,
"Belleville, California",Belleville,California,-116.884167,34.301111,,,,,1860,1860,1900,40,Gold,40,,,,1500
"Bodie, California",Bodie,California,-119.012222,38.212222,,,,,1859,1859,1868,9,,9,,,,
"Calico, California",Calico,California,-116.864167,34.948889,,,,,1881,1881,1907,26,,26,,,,
"Caribou, California",Caribou,California,-121.143768,40.111549,,,,,,,,0,,,,,,
"Carson Hill, California",Carson Hill,California,-120.509079,38.036179,,,,,,,,0,,,,,,
"Cerro Gordo, California",Cerro Gordo,California,-117.795031,36.53771,,,,,1866,1866,1957,91,,91,,,,
"Chambless, California",Chambless,California,-115.544769,34.56189,,,,,,,,0,,,,,,
